 1st    2nd   f1_avg   time_to_run
 12.00  18.00  87.45   0.00 
 12.00  19.00  85.71   0.00 
 12.00  20.00  87.73   0.00 
 12.00  21.00  88.14   0.00 
 12.00  22.00  87.32   0.00 
 12.00  23.00  85.61   0.00 
 12.00  24.00  86.46   0.00 
 12.00  25.00  81.30   0.00 
 12.00  26.00  85.68   0.00 
 12.00  27.00  88.41   0.00 
 12.00  28.00  85.66   0.00 
 12.00  29.00  78.72   0.00 
 12.00  30.00  82.34   0.00 
 13.00   0.00  83.32   0.00 
 13.00   1.00  24.16   0.00 
 13.00   2.00  38.61   0.00 
 13.00   3.00  39.90   0.00 
 13.00   4.00  51.29   0.00 
 13.00   5.00  35.63   0.00 
 13.00   6.00  72.87   0.00 
 13.00   7.00  52.24   0.00 
 13.00   8.00  85.89   0.00 
 13.00   9.00  79.73   0.00 
 13.00  10.00  84.44   0.00 
 13.00  11.00  39.81   0.00 
 13.00  12.00  86.88   0.00 
 13.00  13.00  84.12   0.00 
 13.00  14.00  84.80   0.00 
 13.00  15.00  87.90   0.00 
 13.00  16.00  85.12   0.00 
 13.00  17.00  87.30   0.00 
 13.00  18.00  85.97   0.00 
 13.00  19.00  86.07   0.00 
 13.00  20.00  82.58   0.00 
 13.00  21.00  82.41   0.00 
 13.00  22.00  82.68   0.00 
 13.00  23.00  78.06   0.00 
 13.00  24.00  84.32   0.00 
 13.00  25.00  85.91   0.00 
 13.00  26.00  75.29   0.00 
 13.00  27.00  90.23   0.00 
 13.00  28.00  87.66   0.00 
 13.00  29.00  82.95   0.00 
 13.00  30.00  83.05   0.00 
 14.00   0.00  85.49   0.00 
 14.00   1.00  18.48   0.00 
 14.00   2.00  36.61   0.00 
 14.00   3.00  37.79   0.00 
 14.00   4.00  67.15   0.00 
 14.00   5.00  18.11   0.00 
 14.00   6.00  86.75   0.00 
 14.00   7.00  77.75   0.00 
 14.00   8.00  82.39   0.00 
 14.00   9.00  88.00   0.00 
 14.00  10.00  77.52   0.00 
 14.00  11.00  74.40   0.00 
 14.00  12.00  85.23   0.00 
 14.00  13.00  87.76   0.00 
 14.00  14.00  69.91   0.00 
 14.00  15.00  86.16   0.00 
 14.00  16.00  83.44   0.00 
 14.00  17.00  86.70   0.00 
 14.00  18.00  87.84   0.00 
 14.00  19.00  78.08   0.00 
 14.00  20.00  88.55   0.00 
 14.00  21.00  86.19   0.00 
 14.00  22.00  89.20   0.00 
 14.00  23.00  83.42   0.00 
 14.00  24.00  79.18   0.00 
 14.00  25.00  85.34   0.00 
 14.00  26.00  85.01   0.00 
 14.00  27.00  78.69   0.00 
 14.00  28.00  88.67   0.00 
 14.00  29.00  69.69   0.00 
 14.00  30.00  82.47   0.00 
 15.00   0.00  86.00   0.00 
 15.00   1.00  22.89   0.00 
 15.00   2.00  34.06   0.00 
 15.00   3.00  49.51   0.00 
 15.00   4.00  47.07   0.00 
 15.00   5.00  58.39   0.00 
 15.00   6.00  79.52   0.00 
 15.00   7.00  84.16   0.00 
 15.00   8.00  83.83   0.00 
 15.00   9.00  87.14   0.00 
 15.00  10.00  32.82   0.00 
 15.00  11.00  88.71   0.00 
 15.00  12.00  84.01   0.00 
 15.00  13.00  82.61   0.00 
 15.00  14.00  84.92   0.00 
 15.00  15.00  86.05   0.00 
 15.00  16.00  86.35   0.00 
 15.00  17.00  86.95   0.00 
 15.00  18.00  78.92   0.00 
 15.00  19.00  81.59   0.00 
 15.00  20.00  84.98   0.00 
 15.00  21.00  86.67   0.00 
 15.00  22.00  82.55   0.00 
 15.00  23.00  89.22   0.00 
 15.00  24.00  83.42   0.00 
 15.00  25.00  83.55   0.00 
 15.00  26.00  85.34   0.00 
 15.00  27.00  86.95   0.00 
 15.00  28.00  72.86   0.00 
 15.00  29.00  87.32   0.00 
 15.00  30.00  84.78   0.00 
 16.00   0.00  83.19   0.00 
 16.00   1.00  20.94   0.00 
 16.00   2.00  29.77   0.00 
 16.00   3.00  20.24   0.00 
 16.00   4.00  34.71   0.00 
 16.00   5.00  24.01   0.00 
 16.00   6.00  41.61   0.00 
 16.00   7.00  83.97   0.00 
 16.00   8.00  87.24   0.00 
 16.00   9.00  84.79   0.00 
 16.00  10.00  73.08   0.00 
 16.00  11.00  88.06   0.00 
 16.00  12.00  83.05   0.00 
 16.00  13.00  51.76   0.00 
 16.00  14.00  88.13   0.00 
 16.00  15.00  85.58   0.00 
 16.00  16.00  70.82   0.00 
 16.00  17.00  87.83   0.00 
 16.00  18.00  82.96   0.00 
 16.00  19.00  72.55   0.00 
 16.00  20.00  80.01   0.00 
 16.00  21.00  82.76   0.00 
 16.00  22.00  79.59   0.00 
 16.00  23.00  68.83   0.00 
 16.00  24.00  85.13   0.00 
 16.00  25.00  85.52   0.00 
 16.00  26.00  84.67   0.00 
 16.00  27.00  35.73   0.00 
 16.00  28.00  69.50   0.00 
 16.00  29.00  83.01   0.00 
 16.00  30.00  78.40   0.00 
 17.00   0.00  83.37   0.00 
 17.00   1.00  20.37   0.00 
 17.00   2.00  36.04   0.00 
 17.00   3.00  57.60   0.00 
 17.00   4.00  19.20   0.00 
 17.00   5.00  37.92   0.00 
 17.00   6.00  38.67   0.00 
 17.00   7.00  61.65   0.00 
 17.00   8.00  39.17   0.00 
 17.00   9.00  86.32   0.00 
 17.00  10.00  73.18   0.00 
 17.00  11.00  61.71   0.00 
 17.00  12.00  35.68   0.00 
 17.00  13.00  86.19   0.00 
 17.00  14.00  86.29   0.00 
 17.00  15.00  86.02   0.00 
 17.00  16.00  87.90   0.00 
 17.00  17.00  88.86   0.00 
 17.00  18.00  73.75   0.00 
 17.00  19.00  87.24   0.00 
 17.00  20.00  85.42   0.00 
 17.00  21.00  83.47   0.00 
 17.00  22.00  41.29   0.00 
 17.00  23.00  88.38   0.00 
 17.00  24.00  84.78   0.00 
 17.00  25.00  82.43   0.00 
 17.00  26.00  48.61   0.00 
 17.00  27.00  86.95   0.00 
 17.00  28.00  82.32   0.00 
 17.00  29.00  88.80   0.00 
 17.00  30.00  86.40   0.00 
 18.00   0.00  85.55   0.00 
