 1st    2nd   f1_avg 
 18.00   2.00  29.52 
 18.00   3.00  42.28 
 18.00   4.00  51.36 
 18.00   5.00  45.16 
 18.00   6.00  53.75 
 18.00   7.00  27.53 
 18.00   8.00  36.07 
 18.00   9.00  65.25 
 18.00  10.00  59.66 
 18.00  11.00  30.86 
 18.00  12.00  64.62 
 18.00  13.00  65.25 
 18.00  14.00  40.20 
 18.00  15.00  39.64 
 18.00  16.00  57.06 
 18.00  17.00  62.46 
 18.00  18.00  70.96 
 18.00  19.00  70.28 
 18.00  20.00  48.43 
 18.00  21.00  71.01 
 18.00  22.00  71.19 
 18.00  23.00  64.97 
 18.00  24.00  37.66 
 18.00  25.00  62.50 
 18.00  26.00  63.24 
 18.00  27.00  65.81 
 18.00  28.00  65.70 
 18.00  29.00  62.39 
 18.00  30.00  64.27 
 18.00  31.00  62.21 
 18.00  32.00  66.01 
 18.00  33.00  69.39 
 18.00  34.00  51.49 
 18.00  35.00  71.52 
 18.00  36.00  69.79 
 18.00  37.00  67.78 
 18.00  38.00  70.98 
 18.00  39.00  64.00 
 18.00  40.00  41.80 
 18.00  41.00  41.98 
 18.00  42.00  64.12 
 18.00  43.00  32.87 
 18.00  44.00  22.57 
 18.00  45.00  69.86 
 18.00  46.00  41.61 
 18.00  47.00  65.54 
 18.00  48.00  61.97 
 18.00  49.00  73.48 
 18.00  50.00  66.16 
 19.00   0.00  69.76 
 19.00   1.00  18.61 
 19.00   2.00  20.58 
 19.00   3.00  24.66 
 19.00   4.00  36.10 
 19.00   5.00  36.33 
 19.00   6.00  74.68 
 19.00   7.00  56.71 
 19.00   8.00  64.33 
 19.00   9.00  62.38 
 19.00  10.00  55.20 
 19.00  11.00  61.15 
 19.00  12.00  61.00 
 19.00  13.00  71.93 
 19.00  14.00  65.83 
 19.00  15.00  66.46 
 19.00  16.00  63.24 
 19.00  17.00  68.68 
 19.00  18.00  32.81 
 19.00  19.00  72.04 
 19.00  20.00  69.27 
 19.00  21.00  49.11 
 19.00  22.00  49.36 
